,ID,버거킹,맥도날드,KFC,롯데리아,맘스터치,버거지수,y,x
0,홍천,4,0,0,3,1,1.0,2,8
1,강릉,1,1,0,5,4,0.2222222222222222,3,11
2,영월,0,0,0,0,0,0.0,7,10
3,원주,1,5,0,13,4,0.35294117647058826,5,10
4,삼척,0,0,0,0,1,0.0,5,11
5,춘천,3,4,4,5,1,1.8333333333333333,1,9
6,태백,0,0,0,1,0,0.0,4,10
7,철원,0,0,0,0,1,0.0,0,7
8,화천,0,0,0,2,3,0.0,0,8
9,동해,0,3,1,0,0,0.0,4,11
10,속초,1,1,0,6,1,0.2857142857142857,1,10
11,정선,0,0,0,1,0,0.0,3,10
12,평창,0,0,0,1,2,0.0,6,10
13,인제,0,0,0,2,1,0.0,1,8
14,횡성,0,0,1,1,0,1.0,2,9
15,양구,0,0,0,1,0,0.0,0,9
16,양양,0,0,0,2,0,0.0,2,10
17,고성(강원),0,0,0,1,0,0.0,0,10
18,수원 장안,1,8,0,5,1,1.5,10,6
19,고양 덕양,3,8,2,9,2,1.1818181818181819,3,4
20,안양 동안,3,2,2,9,1,0.7,5,3
21,파주,3,0,0,12,5,0.17647058823529413,2,3
22,연천,0,0,0,1,1,0.0,1,5
23,부천,7,9,3,5,4,2.111111111111111,5,2
24,용인 수지,4,5,1,5,2,1.4285714285714286,8,9
25,의정부,9,7,1,11,1,1.4166666666666667,1,7
26,안산 단원,3,3,0,10,1,0.5454545454545454,8,3
27,고양 일산동,7,8,2,5,0,3.4,2,4
28,성남 수정,3,2,0,2,0,2.5,8,8
29,평택,6,5,1,18,2,0.6,11,4
30,안양 만안,0,2,3,9,0,0.5555555555555556,4,3
31,군포,1,2,0,5,0,0.6,9,5
32,시흥,3,1,2,15,5,0.3,6,3
33,고양 일산서,2,1,2,9,2,0.45454545454545453,3,3
34,화성,5,6,1,18,3,0.5714285714285714,9,3
35,오산,4,6,0,5,0,2.0,10,3
36,용인 기흥,1,8,2,5,1,1.8333333333333333,9,8
37,수원 팔달,5,6,6,8,0,2.125,11,6
38,성남 분당,13,9,7,6,4,2.9,8,7
39,이천,2,6,2,8,0,1.25,6,9
40,포천,1,1,1,3,2,0.6,1,6
41,용인 처인,0,4,1,10,2,0.4166666666666667,9,9
42,성남 중원,0,1,0,4,3,0.14285714285714285,7,8
43,양주,0,1,0,3,4,0.14285714285714285,1,3
44,동두천,2,1,0,1,1,1.5,1,4
45,가평,0,0,0,4,1,0.0,3,7
46,수원 영통,5,8,3,7,0,2.2857142857142856,9,7
47,여주,1,0,0,7,1,0.125,5,9
48,남양주,4,6,2,4,10,0.8571428571428571,2,7
49,하남,2,1,2,5,2,0.7142857142857143,3,9
50,수원 권선,2,3,3,7,0,1.1428571428571428,10,5
51,안산 상록,1,2,1,11,2,0.3076923076923077,7,3
52,광주,1,0,0,6,3,0.1111111111111111,7,9
53,김포,4,5,5,8,3,1.2727272727272727,4,2
54,광명,1,5,1,1,0,7.0,4,4
55,의왕,0,1,1,3,0,0.6666666666666666,9,6
56,안성,0,1,0,10,0,0.1,10,4
57,양평,1,0,0,5,0,0.2,4,9
58,구리,1,3,3,2,0,3.5,3,8
59,과천,0,3,0,1,0,3.0,7,7
60,창원 성산,1,4,1,4,0,1.5,20,7
61,김해,3,9,4,10,1,1.4545454545454546,20,9
62,진주,2,6,1,11,4,0.6,18,6
63,창원 진해,1,4,0,5,1,0.8333333333333334,20,8
64,고성(경남),0,0,0,3,0,0.0,22,7
65,거제,4,3,0,4,2,1.1666666666666667,22,8
66,양산,2,3,2,5,5,0.7,19,7
67,산청,0,0,0,1,0,0.0,19,5
68,창원 의창,2,5,0,6,3,0.7777777777777778,20,6
69,창원 회원,3,4,1,8,1,0.8888888888888888,21,7
70,창원 합포,1,3,0,1,2,1.3333333333333333,19,8
71,함안,0,0,0,0,0,0.0,19,6
72,통영,0,2,0,0,0,0.0,21,8
73,의령,0,0,0,1,1,0.0,18,7
74,합천,0,0,0,0,0,0.0,16,7
75,함양,0,0,0,0,0,0.0,17,6
76,사천,1,1,0,3,1,0.5,21,6
77,하동,0,0,0,1,0,0.0,20,5
78,창녕,0,0,0,2,0,0.0,17,7
79,거창,0,0,0,2,0,0.0,16,6
80,밀양,0,2,0,0,0,0.0,17,8
81,남해,0,0,0,1,1,0.0,22,6
82,구미,6,7,1,8,1,1.5555555555555556,10,10
83,영덕,0,0,0,0,0,0.0,7,11
84,상주,1,0,0,2,0,0.5,11,8
85,김천,1,1,0,3,2,0.4,11,9
86,경산,4,0,2,8,3,0.5454545454545454,12,11
87,안동,2,0,0,5,0,0.4,9,10
88,포항 남구,4,3,1,2,2,2.0,11,12
89,경주,1,4,1,8,3,0.5454545454545454,12,12
90,포항 북구,2,6,2,5,2,1.4285714285714286,10,12
91,군위,0,0,0,0,0,0.0,11,10
92,영주,1,0,0,3,0,0.3333333333333333,10,9
93,영천,0,0,0,2,0,0.0,12,10
94,울진,0,0,0,2,1,0.0,6,11
95,봉화,0,0,0,3,0,0.0,8,11
96,칠곡,0,0,0,0,0,0.0,12,9
97,청송,0,0,0,0,0,0.0,10,11
98,청도,0,0,0,1,0,0.0,13,10
99,고령,0,0,0,1,0,0.0,13,9
100,문경,0,0,0,3,0,0.0,8,10
101,의성,0,0,0,1,0,0.0,11,11
102,성주,0,0,0,1,0,0.0,13,11
103,영양,0,0,0,0,0,0.0,9,11
104,예천,0,0,0,0,1,0.0,10,8
105,울릉,0,0,0,1,0,0.0,8,13
106,광주 광산,3,3,1,10,1,0.6363636363636364,21,2
107,광주 남구,0,6,1,9,0,0.7777777777777778,23,2
108,광주 북구,4,5,2,5,0,2.2,22,3
109,광주 서구,3,3,4,13,1,0.7142857142857143,22,2
110,광주 동구,2,0,0,3,0,0.6666666666666666,23,3
111,대구 달서,3,16,3,7,2,2.4444444444444446,16,8
112,대구 중구,6,5,5,7,0,2.2857142857142856,14,9
113,대구 수성,6,12,2,10,1,1.8181818181818181,14,10
114,대구 북구,5,4,3,7,0,1.7142857142857142,14,8
115,대구 달성,2,2,0,5,0,0.8,16,9
116,대구 동구,3,4,0,10,2,0.5833333333333334,15,10
117,대구 남구,1,2,2,1,2,1.6666666666666667,15,9
118,대구 서구,1,1,1,5,1,0.5,15,8
119,대전 서구,11,7,5,11,3,1.6428571428571428,16,4
120,대전 대덕,0,3,0,7,1,0.375,13,5
121,대전 유성,3,2,2,11,1,0.5833333333333334,15,4
122,대전 동구,2,3,0,9,1,0.5,14,5
123,대전 중구,5,8,3,8,3,1.4545454545454546,15,5
124,부산 사상,1,5,1,3,1,1.75,18,9
125,부산 중구,2,1,2,2,2,1.25,18,11
126,부산 해운대,7,9,0,12,3,1.0666666666666667,17,12
127,부산 동구,0,2,0,2,0,1.0,18,10
128,부산 강서,0,1,0,4,1,0.2,18,8
129,부산 북구,0,7,1,6,1,1.1428571428571428,17,9
130,부산 남구,3,3,0,3,2,1.2,19,11
131,부산 동래,2,12,0,5,2,2.0,16,11
132,부산 사하,0,5,1,4,1,1.2,19,10
133,부산 금정,2,4,1,4,2,1.1666666666666667,16,10
134,부산 서구,0,0,0,1,1,0.0,19,9
135,부산 수영,0,6,0,3,2,1.2,20,11
136,부산 연제,2,7,0,5,0,1.8,17,11
137,부산 영도,0,1,0,2,1,0.3333333333333333,20,10
138,부산 부산진,1,10,2,8,4,1.0833333333333333,17,10
139,부산 기장,1,2,0,5,1,0.5,16,12
140,서울 광진,4,4,3,9,1,1.1,6,7
141,서울 중구,15,4,3,5,1,3.6666666666666665,5,6
142,서울 동대문,3,6,0,7,3,0.9,4,7
143,서울 관악,4,2,2,6,2,1.0,7,5
144,서울 강동,6,7,2,7,1,1.875,5,8
145,서울 성동,2,3,1,8,4,0.5,5,7
146,서울 영등포,7,5,1,8,2,1.3,8,4
147,서울 중랑,4,3,0,3,1,1.75,4,8
148,서울 성북,5,3,0,10,4,0.5714285714285714,3,6
149,서울 서대문,11,4,4,9,3,1.5833333333333333,4,5
150,서울 양천,6,6,0,4,2,2.0,7,4
151,서울 구로,4,6,0,4,0,2.5,9,4
152,서울 강서,8,8,5,9,3,1.75,6,4
153,서울 서초,12,9,6,7,0,3.857142857142857,7,6
154,서울 마포,5,5,4,8,3,1.2727272727272727,5,5
155,서울 강남,24,14,10,8,1,5.333333333333333,8,6
156,서울 금천,2,6,2,4,1,2.0,8,5
157,서울 송파,5,7,1,12,1,1.0,6,8
158,서울 용산,2,2,2,11,0,0.5454545454545454,6,6
159,서울 도봉,4,3,1,2,0,4.0,2,5
160,서울 동작,2,4,2,6,1,1.1428571428571428,6,5
161,서울 종로,3,7,0,2,3,2.0,4,6
162,서울 은평,5,4,1,2,2,2.5,5,4
163,서울 강북,0,6,2,4,0,2.0,3,5
164,서울 노원,1,5,7,5,1,2.1666666666666665,2,6
165,세종,4,0,2,8,2,0.6,13,4
166,울산 남구,4,13,1,11,4,1.2,15,12
167,울산 중구,2,1,0,8,2,0.3,15,11
168,울산 동구,1,3,0,3,0,1.3333333333333333,14,12
169,울산 울주,0,1,0,5,5,0.1,14,11
170,울산 북구,1,3,0,7,3,0.4,13,12
171,인천 미추홀,4,3,0,11,2,0.5384615384615384,9,2
172,인천 계양,2,2,3,3,3,1.1666666666666667,7,2
173,인천 동구,0,0,0,0,0,0.0,6,2
174,인천 중구,5,1,3,6,2,1.125,9,1
175,인천 연수,4,4,1,8,4,0.75,10,1
176,인천 부평,2,8,4,12,2,1.0,8,2
177,인천 옹진,0,0,0,1,0,0.0,10,0
178,인천 남동,4,7,6,13,2,1.1333333333333333,10,2
179,인천 강화,0,0,0,2,0,0.0,5,1
180,인천 서구,2,1,2,9,2,0.45454545454545453,6,1
181,여수,1,4,0,10,2,0.4166666666666667,23,4
182,목포,2,5,0,4,2,1.1666666666666667,22,0
183,장성,0,0,0,1,0,0.0,19,2
184,고흥,0,0,0,1,2,0.0,22,5
185,함평,0,0,0,1,0,0.0,20,1
186,영광,0,0,0,0,0,0.0,19,1
187,순천,0,6,0,9,1,0.6,22,4
188,광양,1,1,0,2,0,1.0,21,5
189,화순,0,0,0,0,0,0.0,21,4
190,나주,0,0,0,0,1,0.0,22,1
191,영암,0,0,0,0,1,0.0,23,1
192,완도,0,0,0,0,1,0.0,25,2
193,보성,0,0,0,1,1,0.0,24,3
194,무안,1,1,0,2,0,1.0,21,1
195,담양,0,0,0,4,0,0.0,20,2
196,해남,0,0,0,0,1,0.0,23,0
197,곡성,0,0,0,1,0,0.0,21,3
198,장흥,0,0,0,0,0,0.0,24,2
199,강진,0,0,0,1,0,0.0,24,1
200,구례,0,0,0,2,0,0.0,20,4
201,신안,0,0,0,0,0,0.0,21,0
202,진도,0,0,0,0,0,0.0,24,0
203,전주 완산,4,3,4,8,1,1.2222222222222223,19,3
204,군산,1,3,0,7,1,0.5,16,2
205,전주 덕진,2,4,0,8,3,0.5454545454545454,18,3
206,정읍,1,1,0,3,0,0.6666666666666666,18,2
207,남원,0,0,0,1,1,0.0,18,5
208,완주,0,0,0,2,1,0.0,17,4
209,익산,2,4,0,6,0,1.0,16,3
210,김제,0,0,0,2,1,0.0,17,3
211,진안,0,0,0,1,0,0.0,18,4
212,무주,0,0,0,1,0,0.0,16,5
213,장수,0,0,0,1,0,0.0,17,5
214,고창,0,0,0,0,1,0.0,18,1
215,부안,0,0,0,0,1,0.0,17,2
216,순창,0,0,0,1,0,0.0,20,3
217,임실,0,0,0,0,0,0.0,19,4
218,서귀포,0,6,0,5,3,0.75,26,5
219,제주,2,8,0,8,2,1.0,25,5
220,아산,0,3,1,9,2,0.36363636363636365,11,1
221,천안 서북,1,7,0,10,1,0.7272727272727273,11,3
222,계룡,0,0,0,2,0,0.0,14,4
223,천안 동남,2,4,0,8,1,0.6666666666666666,11,2
224,금산,0,0,0,2,0,0.0,15,3
225,보령,0,1,0,3,0,0.3333333333333333,13,2
226,부여,0,0,0,3,0,0.0,14,2
227,공주,0,0,0,3,0,0.0,12,4
228,당진,0,2,1,4,0,0.75,12,1
229,서산,1,1,0,5,1,0.3333333333333333,13,1
230,홍성,1,2,0,1,1,1.5,12,2
231,논산,0,2,0,4,2,0.3333333333333333,14,3
232,청양,0,0,0,0,0,0.0,13,3
233,예산,0,0,0,1,0,0.0,12,3
234,서천,0,0,0,1,2,0.0,15,2
235,태안,0,0,0,0,0,0.0,11,0
236,옥천,0,0,0,1,0,0.0,15,6
237,충주,0,1,0,5,5,0.1,12,6
238,청주 흥덕,3,2,1,12,0,0.5,12,7
239,청주 청원,1,2,1,5,2,0.5714285714285714,13,7
240,청주 상당,1,3,2,9,3,0.5,14,6
241,청주 서원,0,6,0,6,3,0.6666666666666666,14,7
242,진천,1,0,0,0,1,1.0,12,5
243,제천,0,1,0,3,3,0.16666666666666666,10,7
244,음성,0,0,0,3,2,0.0,11,5
245,괴산,0,0,0,1,0,0.0,12,8
246,증평,0,0,0,1,1,0.0,13,6
247,영동,0,0,0,0,0,0.0,15,7
248,단양,0,0,0,0,0,0.0,11,7
249,보은,0,0,0,1,0,0.0,13,8
