종목코드,종목명,현재가,대비,등락률(%),매도호가,매수호가,거래량(주),거래대금(원),시가,고가,저가,액면가,통화구분,상장주식수(주),상장시가총액(원),총카운트
354230,폭스소프트,"19,500","0","0.00","20,000","18,900","0","0","0","0","0","500",원(KRW),"600,000","11,700,000,000",
303360,프로테옴텍,"10,400","0","0.00","10,400","10,300","1,238","12,837,850","10,350","10,400","10,350","500",원(KRW),"10,097,794","105,017,057,600",
222670,플럼라인생명과학,"8,430","140","1.69","8,440","8,200","652","5,506,490","8,400","8,590","8,400","500",원(KRW),"2,867,050","24,169,231,500",
150440,피노텍,"3,600","-90","2.44","3,600","3,400","1","3,600","3,600","3,600","3,600","500",원(KRW),"9,565,412","34,435,483,200",
242350,피엔아이컴퍼니,"639","0","0.00","649","556","0","0","0","0","0","500",원(KRW),"4,761,520","3,042,611,280",
239890,피엔에이치테크,"22,000","-350","1.57","22,450","22,000","1,093","24,107,850","22,450","22,450","22,000","500",원(KRW),"3,995,376","87,898,272,000",
331660,한국미라클피플사,"18,050","0","0.00","0","0","0","0","0","0","0","500",원(KRW),"1,100,000","19,855,000,000",
107640,한중엔시에스,"5,400","0","0.00","5,600","5,200","0","0","0","0","0","500",원(KRW),"3,795,000","20,493,000,000",
284420,휴럼,"11,150","150","1.36","11,150","10,850","542","6,073,600","11,300","11,300","11,150","500",원(KRW),"3,800,450","42,375,017,500",
212310,휴벡셀,"4,845","5","0.10","4,850","4,845","1,027","4,820,410","5,550","5,550","4,200","500",원(KRW),"4,114,429","19,934,408,505",
