종목코드,종목명,현재가,대비,등락률(%),매도호가,매수호가,거래량(주),거래대금(원),시가,고가,저가,액면가,통화구분,상장주식수(주),상장시가총액(원),총카운트
078935,GS우,"31,450","-50","0.16","31,450","31,400","3,102","97,514,200","31,600","31,600","31,300","5,000",원(KRW),"1,784,826","56,132,777,700",
012630,HDC,"11,250","-250","2.17","11,250","11,200","318,298","3,574,191,700","11,400","11,450","11,100","5,000",원(KRW),"59,741,721","672,094,361,250",
039570,HDC아이콘트롤스,"10,050","-350","3.37","10,050","10,000","66,555","671,506,830","10,300","10,300","9,980","500",원(KRW),"16,460,000","165,423,000,000",
089470,HDC현대EP,"6,440","-130","1.98","6,460","6,440","76,448","495,002,730","6,570","6,580","6,440","500",원(KRW),"31,900,000","205,436,000,000",
294870,HDC현대산업개발,"26,150","0","0.00","26,150","26,100","753,013","19,480,845,600","25,900","26,350","25,300","5,000",원(KRW),"65,907,330","1,723,476,679,500",
011200,HMM,"13,350","-450","3.26","13,400","13,350","2,667,540","35,748,381,050","13,800","13,800","13,200","5,000",원(KRW),"326,726,323","4,361,796,412,050",
082740,HSD엔진,"9,890","30","0.30","9,890","9,870","2,297,909","22,852,614,990","10,100","10,300","9,670","1,000",원(KRW),"32,947,142","325,847,234,380",
003560,IHQ,"1,595","0","0.00","1,600","1,595","1,527,407","2,459,298,920","1,600","1,640","1,590","500",원(KRW),"146,235,748","233,246,018,060",
175330,JB금융지주,"5,900","40","0.68","5,910","5,900","494,951","2,923,038,740","5,860","5,940","5,850","5,000",원(KRW),"196,982,894","1,162,199,074,600",
234080,JW생명과학,"20,000","350","1.78","20,000","19,950","261,730","5,266,608,800","19,850","20,500","19,750","2,500",원(KRW),"15,834,554","316,691,080,000",
001060,JW중외제약,"34,900","50","0.14","34,900","34,850","102,462","3,556,753,400","34,950","35,200","34,400","2,500",원(KRW),"20,920,054","730,109,884,600",
001067,JW중외제약2우B,"55,300","-700","1.25","55,800","55,200","92","5,142,200","56,000","56,000","55,300","2,500",원(KRW),"90,374","4,997,682,200",
001065,JW중외제약우,"41,200","100","0.24","41,300","41,200","355","14,630,650","41,350","41,350","41,200","2,500",원(KRW),"172,361","7,101,273,200",
096760,JW홀딩스,"5,910","80","1.37","5,910","5,900","216,601","1,280,432,720","5,910","5,950","5,880","500",원(KRW),"66,452,155","392,732,236,050",
105560,KB금융,"46,950","-150","0.32","46,950","46,900","670,812","31,502,053,600","47,300","47,300","46,600","5,000",원(KRW),"415,807,920","19,522,181,844,000",
002380,KCC,"183,500","6,500","3.67","184,000","183,500","63,717","11,585,033,000","178,000","185,500","175,500","5,000",원(KRW),"8,886,471","1,630,667,428,500",
009070,KCTC,"3,990","5","0.13","3,990","3,985","697,123","2,802,498,210","3,970","4,085","3,965","500",원(KRW),"30,000,000","119,700,000,000",
009440,KC그린홀딩스,"5,010","-60","1.18","5,040","5,010","231,446","1,173,745,265","5,070","5,160","4,985","500",원(KRW),"22,434,980","112,399,249,800",
119650,KC코트렐,"11,700","250","2.18","11,700","11,650","2,593,522","30,213,480,750","11,350","11,900","11,200","500",원(KRW),"13,000,000","152,100,000,000",
092220,KEC,"2,855","-65","2.23","2,855","2,850","2,918,573","8,299,622,420","2,900","2,905","2,800","500",원(KRW),"116,706,940","333,198,313,700",
016380,KG동부제철,"12,150","-350","2.80","12,150","12,100","245,725","2,979,485,850","12,500","12,500","11,950","5,000",원(KRW),"100,008,897","1,215,108,098,550",
016385,KG동부제철우,"128,000","-2,500","1.92","128,500","128,000","112","14,442,500","130,500","130,500","127,500","5,000",원(KRW),"53,385","6,833,280,000",
001390,KG케미칼,"22,100","-700","3.07","22,100","22,050","180,584","4,020,699,650","22,650","22,750","22,050","5,000",원(KRW),"13,013,232","287,592,427,200",
001940,KISCO홀딩스,"14,000","-100","0.71","14,000","13,950","8,184","115,196,950","14,350","14,350","13,900","1,000",원(KRW),"18,476,380","258,669,320,000",
025000,KPX케미칼,"59,600","100","0.17","59,600","59,300","19,264","1,123,074,100","58,600","59,600","57,200","5,000",원(KRW),"4,840,000","288,464,000,000",
092230,KPX홀딩스,"62,700","-200","0.32","62,800","62,600","9,304","584,466,400","63,100","63,500","62,500","5,000",원(KRW),"4,224,646","264,885,304,200",
000040,KR모터스,"1,245","20","1.63","1,245","1,240","665,760","833,006,750","1,230","1,270","1,230","500",원(KRW),"91,661,018","114,117,967,410",
044450,KSS해운,"10,400","50","0.48","10,400","10,350","51,374","530,564,650","10,300","10,400","10,200","500",원(KRW),"23,185,880","241,133,152,000",
030200,KT,"24,600","-50","0.20","24,650","24,600","623,057","15,337,532,800","24,700","24,700","24,550","5,000",원(KRW),"261,111,808","6,423,350,476,800",
033780,KT&G,"86,900","-900","1.03","86,900","86,800","425,547","37,093,396,200","87,700","87,800","86,800","5,000",원(KRW),"137,292,497","11,930,717,989,300",
030210,KTB투자증권,"3,300","-35","1.05","3,300","3,280","160,507","530,385,700","3,335","3,355","3,250","5,000",원(KRW),"60,314,092","199,036,503,600",
058850,KTcs,"2,305","0","0.00","2,305","2,295","170,763","393,012,730","2,310","2,315","2,285","500",원(KRW),"42,685,000","98,388,925,000",
058860,KTis,"2,545","0","0.00","2,545","2,540","59,501","151,485,400","2,535","2,565","2,525","500",원(KRW),"34,802,000","88,571,090,000",
093050,LF,"15,250","-200","1.29","15,300","15,250","82,648","1,265,288,050","15,400","15,450","15,200","5,000",원(KRW),"29,240,000","445,910,000,000",
003550,LG,"77,800","-100","0.13","77,800","77,700","199,277","15,509,477,800","77,900","78,700","77,200","5,000",원(KRW),"172,557,131","13,424,944,791,800",
034220,LG디스플레이,"16,900","250","1.50","16,900","16,850","1,603,290","26,850,823,800","16,650","16,950","16,550","5,000",원(KRW),"357,815,700","6,047,085,330,000",
001120,LG상사,"25,400","400","1.60","25,500","25,400","936,523","24,333,178,250","25,450","26,800","25,050","5,000",원(KRW),"38,760,000","984,504,000,000",
051900,LG생활건강,"1,599,000","28,000","1.78","1,600,000","1,599,000","17,184","27,424,012,000","1,618,000","1,618,000","1,578,000","5,000",원(KRW),"15,618,197","24,973,497,003,000",
051905,LG생활건강우,"702,000","-5,000","0.71","703,000","702,000","1,336","940,398,000","710,000","710,000","702,000","5,000",원(KRW),"2,099,697","1,473,987,294,000",
003555,LG우,"59,500","-500","0.83","59,600","59,500","8,668","514,976,300","59,300","59,800","59,000","5,000",원(KRW),"3,314,677","197,223,281,500",
032640,LG유플러스,"11,750","-150","1.26","11,800","11,750","1,366,276","16,212,122,250","11,950","12,000","11,750","5,000",원(KRW),"436,611,361","5,130,183,491,750",
011070,LG이노텍,"162,500","-2,000","1.22","163,000","162,500","76,524","12,446,085,000","165,000","165,000","161,500","5,000",원(KRW),"23,667,107","3,845,904,887,500",
066570,LG전자,"95,300","-500","0.52","95,400","95,300","573,731","54,406,794,900","95,400","95,700","94,000","5,000",원(KRW),"163,647,814","15,595,636,674,200",
066575,LG전자우,"36,600","-50","0.14","36,600","36,550","64,757","2,361,799,950","36,800","36,800","36,250","5,000",원(KRW),"17,185,992","629,007,307,200",
108670,LG하우시스,"73,900","-1,600","2.12","73,900","73,800","37,466","2,775,199,300","75,500","75,500","73,400","5,000",원(KRW),"8,967,670","662,710,813,000",
108675,LG하우시스우,"30,700","-100","0.32","30,800","30,700","4,358","133,384,950","31,000","31,000","30,400","5,000",원(KRW),"1,032,330","31,692,531,000",
037560,LG헬로비전,"3,860","10","0.26","3,860","3,855","119,035","458,732,070","3,850","3,865","3,845","2,500",원(KRW),"77,446,865","298,944,898,900",
051910,LG화학,"795,000","-13,000","1.61","796,000","795,000","154,080","122,945,218,000","811,000","811,000","792,000","5,000",원(KRW),"70,592,343","56,120,912,685,000",
051915,LG화학우,"373,500","-7,000","1.84","373,500","373,000","16,771","6,292,833,500","378,000","380,000","372,500","5,000",원(KRW),"7,688,800","2,871,766,800,000",
079550,LIG넥스원,"29,150","100","0.34","29,200","29,150","31,970","933,979,950","29,400","29,400","29,050","5,000",원(KRW),"22,000,000","641,300,000,000",
006260,LS,"69,900","-500","0.71","69,900","69,800","170,489","11,830,034,600","70,000","70,400","68,500","5,000",원(KRW),"32,200,000","2,250,780,000,000",
010120,LS ELECTRIC,"59,000","0","0.00","59,000","58,900","103,995","6,086,508,200","59,000","59,200","57,600","5,000",원(KRW),"30,000,000","1,770,000,000,000",
000680,LS네트웍스,"2,485","-35","1.39","2,485","2,480","97,865","241,983,380","2,520","2,520","2,455","5,000",원(KRW),"78,803,016","195,825,494,760",
229640,LS전선아시아,"7,540","-80","1.05","7,550","7,540","77,690","587,230,480","7,610","7,610","7,530","500",원(KRW),"30,624,879","230,911,587,660",
023150,MH에탄올,"9,160","90","0.99","9,170","9,160","128,637","1,183,065,030","9,270","9,350","9,090","500",원(KRW),"7,378,526","67,587,298,160",
035420,NAVER,"288,000","-2,000","0.69","288,500","288,000","301,264","87,414,282,000","292,500","294,000","287,000","100",원(KRW),"164,263,395","47,307,857,760,000",
181710,NHN,"72,900","-300","0.41","73,000","72,900","25,744","1,880,630,600","73,300","73,400","72,700","500",원(KRW),"19,565,025","1,426,290,322,500",
005940,NH투자증권,"12,000","-200","1.64","12,050","12,000","606,653","7,284,372,400","12,100","12,100","11,900","5,000",원(KRW),"281,408,887","3,376,906,644,000",
005945,NH투자증권우,"9,230","-40","0.43","9,240","9,230","67,070","620,022,420","9,200","9,280","9,200","5,000",원(KRW),"18,870,968","174,179,034,640",
338100,NH프라임리츠,"4,290","-10","0.23","4,295","4,290","21,902","94,009,930","4,300","4,300","4,290","500",원(KRW),"18,660,000","80,051,400,000",
034310,NICE,"19,100","-250","1.29","19,150","19,100","10,123","194,292,950","19,350","19,350","19,100","500",원(KRW),"37,882,300","723,551,930,000",
008260,NI스틸,"2,550","-70","2.67","2,565","2,550","185,131","476,778,570","2,600","2,625","2,545","500",원(KRW),"28,600,117","72,930,298,350",
004250,NPC,"3,380","-10","0.29","3,380","3,360","34,720","117,283,735","3,400","3,405","3,335","500",원(KRW),"36,720,000","124,113,600,000",
004255,NPC우,"2,285","0","0.00","2,285","2,280","1,044","2,385,545","2,290","2,290","2,285","500",원(KRW),"5,280,000","12,064,800,000",
010060,OCI,"67,900","-1,100","1.59","67,900","67,800","115,840","7,842,921,500","69,000","69,000","67,300","5,000",원(KRW),"23,849,371","1,619,372,290,900",
005490,POSCO,"278,000","-1,500","0.54","278,500","278,000","183,589","51,235,418,500","281,000","283,000","275,000","5,000",원(KRW),"87,186,835","24,237,940,130,000",
100840,S&TC,"15,250","-50","0.33","15,300","15,200","10,779","164,633,150","15,250","15,350","15,200","500",원(KRW),"7,506,711","114,477,342,750",
064960,S&T모티브,"47,900","-750","1.54","47,950","47,900","30,827","1,475,386,800","48,750","48,750","47,600","5,000",원(KRW),"14,623,136","700,448,214,400",
003570,S&T중공업,"5,790","-240","3.98","5,790","5,780","84,946","494,141,120","5,840","5,930","5,760","2,500",원(KRW),"33,252,697","192,533,115,630",
036530,S&T홀딩스,"14,900","-200","1.32","14,950","14,900","2,934","44,094,750","15,100","15,200","14,850","500",원(KRW),"16,303,886","242,927,901,400",
010950,S-Oil,"71,900","-1,400","1.91","71,900","71,800","223,849","16,113,360,900","72,600","72,900","71,500","2,500",원(KRW),"112,582,792","8,094,702,744,800",
010955,S-Oil우,"38,800","-600","1.52","38,900","38,800","13,781","537,633,750","39,400","39,400","38,750","2,500",원(KRW),"4,021,927","156,050,767,600",
034120,SBS,"21,050","-650","3.00","21,200","21,050","62,350","1,316,873,650","21,350","21,450","20,950","5,000",원(KRW),"18,252,582","384,216,851,100",
101060,SBS미디어홀딩스,"1,845","0","0.00","1,845","1,840","45,113","83,148,670","1,845","1,855","1,835","500",원(KRW),"139,896,190","258,108,470,550",
005090,SGC에너지,"34,200","-450","1.30","34,300","34,200","40,393","1,383,580,050","34,250","34,550","34,150","5,000",원(KRW),"14,677,004","501,953,536,800",
004060,SG세계물산,"659","-1","0.15","659","658","472,399","309,470,238","661","661","652","500",원(KRW),"202,424,960","133,398,048,640",
001380,SG충방,"2,250","-5","0.22","2,255","2,250","186,270","420,054,050","2,235","2,285","2,230","500",원(KRW),"44,964,143","101,169,321,750",
002360,SH에너지화학,"825","-8","0.96","828","824","256,157","212,133,818","839","839","820","500",원(KRW),"111,133,730","91,685,327,250",
009160,SIMPAC,"2,470","0","0.00","2,470","2,450","38,263","93,815,465","2,485","2,485","2,445","500",원(KRW),"65,429,516","161,610,904,520",
123700,SJM,"2,920","-35","1.18","2,940","2,920","18,444","54,314,940","2,955","2,980","2,910","500",원(KRW),"15,604,898","45,566,302,160",
025530,SJM홀딩스,"2,910","0","0.00","2,915","2,900","3,815","11,094,590","2,910","2,915","2,900","500",원(KRW),"14,934,008","43,457,963,280",
034730,SK,"251,500","-1,500","0.59","252,000","251,500","173,754","43,912,606,500","255,500","256,500","250,000","200",원(KRW),"70,360,297","17,695,614,695,500",
011790,SKC,"85,700","-1,800","2.06","85,800","85,700","154,868","13,285,974,100","86,600","86,900","85,200","5,000",원(KRW),"37,534,555","3,216,711,363,500",
018670,SK가스,"108,000","500","0.47","108,000","107,000","6,436","689,894,500","107,500","108,500","106,500","5,000",원(KRW),"9,230,244","996,866,352,000",
001740,SK네트웍스,"4,840","-60","1.22","4,845","4,840","417,465","2,030,392,285","4,930","4,930","4,825","2,500",원(KRW),"248,187,647","1,201,228,211,480",
001745,SK네트웍스우,"113,000","-500","0.44","113,500","113,000","78","8,822,500","113,500","113,500","113,000","2,500",원(KRW),"113,648","12,842,224,000",
006120,SK디스커버리,"63,600","-1,000","1.55","63,800","63,700","51,135","3,252,572,100","64,600","64,800","63,200","5,000",원(KRW),"19,037,855","1,210,807,578,000",
006125,SK디스커버리우,"54,600","-500","0.91","54,700","54,600","7,516","411,509,100","55,100","55,600","54,400","5,000",원(KRW),"1,358,455","74,171,643,000",
210980,SK디앤디,"41,200","-650","1.55","41,200","41,100","45,686","1,882,634,650","41,700","41,750","41,000","1,000",원(KRW),"18,990,164","782,394,756,800",
068400,SK렌터카,"9,160","-70","0.76","9,160","9,150","27,359","250,483,540","9,230","9,270","9,100","500",원(KRW),"47,285,840","433,138,294,400",
326030,SK바이오팜,"171,000","-3,500","2.01","171,000","170,500","92,096","15,769,890,000","173,500","173,500","170,000","500",원(KRW),"78,313,250","13,391,565,750,000",
03473K,SK우,"256,500","-2,500","0.97","256,500","256,000","6,606","1,697,858,000","262,000","262,000","254,500","200",원(KRW),"566,135","145,213,627,500",
096770,SK이노베이션,"186,000","-2,000","1.06","186,000","185,500","454,996","85,092,307,500","189,500","191,000","184,500","5,000",원(KRW),"92,465,564","17,198,594,904,000",
096775,SK이노베이션우,"133,500","-1,500","1.11","134,000","133,500","10,809","1,454,879,000","136,500","136,500","133,000","5,000",원(KRW),"1,248,426","166,664,871,000",
001510,SK증권,"839","10","1.21","839","838","3,983,963","3,331,584,333","832","844","825","500",원(KRW),"472,590,171","396,503,153,469",
001515,SK증권우,"5,860","0","0.00","5,870","5,860","16,840","98,955,410","5,900","5,900","5,860","500",원(KRW),"3,912,514","22,927,332,040",
285130,SK케미칼,"377,500","-5,500","1.44","377,500","377,000","71,733","27,146,775,000","383,000","385,500","375,500","5,000",원(KRW),"11,741,396","4,432,376,990,000",
28513K,SK케미칼우,"173,500","-1,000","0.57","174,000","173,500","6,757","1,171,936,000","174,000","175,000","172,500","5,000",원(KRW),"1,458,670","253,079,245,000",
017670,SK텔레콤,"248,500","1,500","0.61","248,500","248,000","229,501","57,204,735,500","247,500","251,500","247,000","500",원(KRW),"80,745,711","20,065,309,183,500",
000660,SK하이닉스,"117,500","2,000","1.73","117,500","117,000","1,789,715","209,909,416,000","116,000","119,000","115,500","5,000",원(KRW),"728,002,365","85,540,277,887,500",
005610,SPC삼립,"72,500","-500","0.68","72,600","72,500","8,769","637,258,000","73,200","73,400","72,300","5,000",원(KRW),"8,629,009","625,603,152,500",
011810,STX,"6,650","240","3.74","6,650","6,630","62,814","411,702,830","6,440","6,660","6,440","2,500",원(KRW),"19,726,902","131,183,898,300",
077970,STX엔진,"8,430","1,010","13.61","8,430","8,400","306,065","2,421,078,010","7,420","8,430","7,350","2,500",원(KRW),"23,008,904","193,965,060,720",
071970,STX중공업,"4,320","90","2.13","4,315","4,300","155,086","656,612,125","4,300","4,325","4,150","2,500",원(KRW),"28,365,976","122,541,016,320",
084870,TBH글로벌,"1,805","-30","1.63","1,810","1,805","20,028","36,352,930","1,845","1,845","1,800","500",원(KRW),"20,856,819","37,646,558,295",
002710,TCC스틸,"4,670","-190","3.91","4,670","4,665","623,410","2,933,732,870","4,800","4,820","4,610","1,000",원(KRW),"23,000,000","107,410,000,000",
024070,WISCOM,"2,405","-15","0.62","2,405","2,390","67,893","162,270,750","2,420","2,425","2,375","500",원(KRW),"15,326,438","36,860,083,390",
037270,YG PLUS,"5,080","-50","0.97","5,080","5,070","366,443","1,866,645,180","5,080","5,170","5,040","500",원(KRW),"59,496,045","302,239,908,600",
000500,가온전선,"22,000","-300","1.35","22,050","22,000","7,079","155,958,500","22,000","22,200","21,800","5,000",원(KRW),"4,160,347","91,527,634,000",
000860,강남제비스코,"19,850","-250","1.24","19,850","19,800","5,887","117,501,200","20,100","20,200","19,700","1,000",원(KRW),"6,500,000","129,025,000,000",
035250,강원랜드,"23,750","-200","0.84","23,750","23,700","447,258","10,568,953,250","23,600","23,800","23,450","500",원(KRW),"213,940,500","5,081,086,875,000",
011420,갤럭시아에스엠,"1,420","0","0.00","1,420","1,410","159,737","226,432,320","1,425","1,435","1,405","500",원(KRW),"27,549,644","39,120,494,480",
002100,경농,"11,950","-150","1.24","12,000","11,950","31,872","381,569,000","12,100","12,100","11,900","500",원(KRW),"21,691,750","259,216,412,500",
009450,경동나비엔,"53,000","-400","0.75","53,100","53,000","30,900","1,642,257,900","54,000","54,000","52,800","1,000",원(KRW),"13,604,730","721,050,690,000",
267290,경동도시가스,"19,000","-500","2.56","19,000","18,950","18,522","353,880,450","19,200","19,450","18,950","2,500",원(KRW),"5,895,406","112,012,714,000",
012320,경동인베스트,"29,750","50","0.17","29,800","29,750","1,993","58,690,750","29,700","29,800","29,200","5,000",원(KRW),"2,365,023","70,359,434,250",
000050,경방,"12,100","-50","0.41","12,100","12,050","21,372","258,063,350","12,000","12,250","11,950","500",원(KRW),"27,415,270","331,724,767,000",
214390,경보제약,"16,900","50","0.30","16,950","16,900","338,112","5,638,511,300","16,850","16,950","16,400","500",원(KRW),"23,906,860","404,025,934,000",
012610,경인양행,"7,110","-110","1.52","7,120","7,110","180,309","1,284,746,930","7,200","7,220","7,080","500",원(KRW),"41,276,365","293,474,955,150",
009140,경인전자,"23,100","400","1.76","23,150","22,800","1,455","33,191,100","22,700","23,100","22,700","5,000",원(KRW),"1,570,797","36,285,410,700",
013580,계룡건설,"27,450","-700","2.49","27,450","27,400","175,920","4,842,941,550","28,150","28,350","27,150","5,000",원(KRW),"8,930,907","245,153,397,150",
012200,계양전기,"3,485","-55","1.55","3,485","3,470","201,020","697,019,950","3,540","3,540","3,440","500",원(KRW),"32,600,000","113,611,000,000",
012205,계양전기우,"7,430","-120","1.59","7,450","7,420","4,896","36,580,280","7,510","7,510","7,430","500",원(KRW),"1,400,000","10,402,000,000",
002140,고려산업,"4,410","-195","4.23","4,425","4,410","591,515","2,642,583,365","4,580","4,580","4,385","1,000",원(KRW),"24,939,425","109,982,864,250",
010130,고려아연,"394,000","2,000","0.51","394,500","394,000","25,832","10,162,467,500","392,000","396,500","391,500","5,000",원(KRW),"18,870,000","7,434,780,000,000",
002240,고려제강,"16,300","-300","1.81","16,300","16,250","56,312","917,226,650","16,550","16,700","16,100","1,000",원(KRW),"20,000,000","326,000,000,000",
009290,광동제약,"10,200","200","2.00","10,250","10,200","434,384","4,396,211,940","10,000","10,250","9,970","1,000",원(KRW),"52,420,851","534,692,680,200",
017040,광명전기,"2,015","-20","0.98","2,015","2,005","103,342","208,359,290","2,045","2,045","2,000","500",원(KRW),"43,337,615","87,325,294,225",
017900,광전자,"2,290","-5","0.22","2,290","2,280","109,954","251,805,170","2,300","2,315","2,280","500",원(KRW),"57,943,763","132,691,217,270",
037710,광주신세계,"156,500","-4,000","2.49","157,000","156,500","2,765","435,296,000","158,500","160,000","155,500","5,000",원(KRW),"1,600,000","250,400,000,000",
030610,교보증권,"7,990","-70","0.87","7,990","7,980","62,861","502,702,250","8,070","8,080","7,960","5,000",원(KRW),"64,653,296","516,579,835,040",
339770,교촌에프앤비,"20,750","-250","1.19","20,800","20,750","101,097","2,100,258,100","20,650","21,000","20,600","500",원(KRW),"24,982,540","518,387,705,000",
007690,국도화학,"54,700","-300","0.55","54,700","54,500","19,397","1,057,657,600","54,100","55,300","53,600","5,000",원(KRW),"5,810,616","317,840,695,200",
005320,국동,"3,725","30","0.81","3,725","3,720","170,976","632,469,685","3,675","3,740","3,670","500",원(KRW),"38,813,146","144,578,968,850",
001140,국보,"1,950","15","0.78","1,960","1,950","514,022","1,007,406,180","1,935","2,000","1,920","500",원(KRW),"49,376,445","96,284,067,750",
002720,국제약품,"10,300","200","1.98","10,300","10,250","164,232","1,667,584,100","10,100","10,350","10,050","1,000",원(KRW),"18,400,520","189,525,356,000",
083420,그린케미칼,"9,900","1,320","15.38","9,910","9,900","16,945,315","162,698,507,590","8,840","10,300","8,720","500",원(KRW),"24,000,000","237,600,000,000",
014530,극동유화,"3,610","5","0.14","3,610","3,605","106,184","381,934,015","3,605","3,625","3,570","500",원(KRW),"34,869,420","125,878,606,200",
014280,금강공업,"4,890","-50","1.01","4,890","4,885","69,685","342,673,095","4,990","4,995","4,865","1,000",원(KRW),"26,159,553","127,920,214,170",
014285,금강공업우,"13,000","0","0.00","13,050","13,000","2,941","37,800,800","12,700","13,000","12,700","1,000",원(KRW),"589,875","7,668,375,000",
008870,금비,"60,100","-100","0.17","60,200","60,100","352","21,237,300","60,200","60,800","60,100","5,000",원(KRW),"1,000,000","60,100,000,000",
001570,금양,"5,220","-150","2.79","5,220","5,210","158,060","824,870,080","5,330","5,330","5,170","500",원(KRW),"44,048,135","229,931,264,700",
