,일자2,광역시도,확진자,사망자,전일대비,격리해제,격리중,지역발생,해외유입,10만명당
2033,2020-09-05,검역,1372,0,4,1282,90,0,4,-
2034,2020-09-05,제주,48,0,1,27,21,1,0,7.16
2035,2020-09-05,경남,251,0,8,188,63,8,0,7.47
2036,2020-09-05,경북,1473,54,1,1374,45,0,1,55.32
2037,2020-09-05,전남,156,0,0,47,109,0,0,8.37
2038,2020-09-05,전북,89,0,2,53,36,2,0,4.9
2039,2020-09-05,충남,378,1,4,230,147,4,0,17.81
2040,2020-09-05,충북,139,1,4,94,44,2,2,8.69
2041,2020-09-05,강원,205,3,3,127,75,3,0,13.31
2042,2020-09-05,경기,3578,45,50,2277,1256,47,3,27
2043,2020-09-05,세종,67,0,0,58,9,0,0,19.57
2044,2020-09-05,울산,112,1,1,67,44,1,0,9.76
2045,2020-09-05,대전,288,3,2,197,88,2,0,19.54
2046,2020-09-05,광주,413,2,8,271,140,8,0,28.35
2047,2020-09-05,인천,784,3,14,478,303,14,0,26.52
2048,2020-09-05,대구,7077,191,5,6783,103,5,0,290.46
2049,2020-09-05,부산,329,4,10,236,89,10,0,9.64
2050,2020-09-05,서울,4251,25,51,2220,2006,51,0,43.67
2051,2020-09-05,합계,21010,333,168,16009,4668,158,10,40.52
2052,2020-09-04,검역,1368,0,4,1282,86,0,4,-
2053,2020-09-04,제주,47,0,0,27,20,0,0,7.01
2054,2020-09-04,경남,243,0,3,181,62,3,0,7.23
2055,2020-09-04,경북,1472,54,4,1364,54,4,0,55.29
2056,2020-09-04,전남,156,0,1,45,111,1,0,8.37
2057,2020-09-04,전북,87,0,0,50,37,0,0,4.79
2058,2020-09-04,충남,374,1,21,225,148,20,1,17.62
2059,2020-09-04,충북,135,1,4,87,47,4,0,8.44
2060,2020-09-04,강원,202,3,3,120,79,3,0,13.11
2061,2020-09-04,경기,3527,44,56,2210,1273,55,1,26.62
2062,2020-09-04,세종,67,0,0,55,12,0,0,19.57
2063,2020-09-04,울산,111,1,3,67,43,3,0,9.68
2064,2020-09-04,대전,286,3,4,190,93,3,1,19.40
2065,2020-09-04,광주,405,2,11,268,135,10,1,27.80
2066,2020-09-04,인천,770,3,5,448,319,5,0,26.05
2067,2020-09-04,대구,7072,191,7,6769,112,7,0,290.25
2068,2020-09-04,부산,319,4,4,219,96,3,1,9.35
2069,2020-09-04,서울,4201,24,68,2176,2001,68,0,43.16
2070,2020-09-04,합계,20842,331,198,15783,4728,189,9,40.20
2071,2020-09-03,검역,1364,0,3,1271,93,0,3,-
2072,2020-09-03,제주,47,0,0,27,20,0,0,7.01
2073,2020-09-03,경남,240,0,0,176,64,0,0,7.14
2074,2020-09-03,경북,1468,54,0,1360,54,0,0,55.14
