,rowID,기준일,누적환진률,누적검사수,누적 검사 완료 수,치료중 환자 수,격리해제 수,사망자 수,확진자 수,검사 진행 수,결과 음성 수 ,수정일
62,298,20201021,1.0235112910,2503491,2483998,1390,23584,450,25424,19493,2458574,null
63,297,20201020,1.0248259256,2491311,2471932,1420,23466,447,25333,19379,2446599,null
64,296,20201019,1.0264113613,2479226,2462463,1463,23368,444,25275,16763,2437188,null
65,295,20201018,1.0257055261,2474529,2456748,1443,23312,444,25199,17781,2431549,null
66,294,20201017,1.0243108604,2468527,2451209,1407,23258,443,25108,17318,2426101,null
67,293,20201016,1.0251544693,2459426,2442071,1414,23180,441,25035,17355,2417036,null
68,292,20201015,1.0272656226,2450739,2432477,1467,23082,439,24988,18262,2407489,null
69,291,20201014,1.0271731010,2441454,2423058,1421,23030,438,24889,18396,2398169,null
70,290,20201013,1.0298312704,2428771,2408647,1508,22863,434,24805,20124,2383842,null
71,289,20201012,1.0308301807,2415610,2396418,1541,22729,433,24703,19192,2371715,null
72,288,20201011,1.0290316914,2410483,2391180,1481,22693,432,24606,19303,2366574,null
73,287,20201010,1.0289633826,2404684,2385702,1494,22624,430,24548,18982,2361154,null
74,286,20201009,1.0286047604,2400233,2379534,1479,22569,428,24476,20699,2355058,null
75,285,20201008,1.0313928237,2388844,2367866,1532,22463,427,24422,20978,2343444,null
76,284,20201007,1.0336872621,2378073,2355935,1594,22334,425,24353,22138,2331582,null
77,283,20201006,1.0346626280,2365433,2342696,1734,22083,422,24239,22737,2318457,null
78,282,20201005,1.0371122578,2352378,2329931,1856,21886,422,24164,22447,2305767,null
79,281,20201004,1.0365157650,2346345,2324229,1825,21845,421,24091,22116,2300138,null
80,280,20201003,1.0362844026,2339859,2318572,1820,21787,420,24027,21287,2294545,null
81,279,20201002,1.0351882761,2333777,2313782,1803,21733,416,23952,19995,2289830,null
82,278,20201001,1.0348699492,2328435,2308406,1808,21666,415,23889,20029,2284517,null
83,277,20200930,1.0342238087,2322999,2302403,1809,21590,413,23812,20596,2278591,null
84,276,20200929,1.0335422601,2313044,2292988,1822,21470,407,23699,20056,2269289,null
85,275,20200928,1.0365284161,2301303,2282716,1963,21292,406,23661,18587,2259055,null
86,274,20200927,1.0366436472,2296517,2277639,1962,21248,401,23611,18878,2254028,null
87,273,20200926,1.0351094730,2290345,2271837,1951,21166,399,23516,18508,2248321,null
88,272,20200925,1.0375100466,2280276,2260701,2082,20978,395,23455,19575,2237246,null
89,271,20200924,1.0382004939,2268999,2248217,2116,20832,393,23341,20782,2224876,null
90,270,20200923,1.0381099387,2256899,2236372,2178,20650,388,23216,20527,2213156,null
91,269,20200922,1.0399254688,2245112,2221890,2277,20441,388,23106,23222,2198784,null
92,268,20200921,1.0432072023,2231589,2209053,2412,20248,385,23045,22536,2186008,null
93,267,20200920,1.0431673785,2226701,2202427,2434,20158,383,22975,24274,2179452,null
94,266,20200919,1.0432193476,2219162,2194457,2545,19970,378,22893,24705,2171564,null
95,265,20200918,1.0446307638,2206365,2180962,2635,19771,377,22783,25403,2158179,null
96,264,20200917,1.0458441347,2191892,2166384,2742,19543,372,22657,25508,2143727,null
97,263,20200916,1.0452440559,2178832,2152990,2827,19310,367,22504,25842,2130486,null
98,262,20200915,1.0476458731,2164578,2137268,3146,18878,367,22391,27310,2114877,null
99,261,20200914,1.0494338190,2151002,2123526,3433,18489,363,22285,27476,2101241,null
100,260,20200913,1.0482306145,2143270,2115565,3592,18226,358,22176,27705,2093389,null
101,259,20200912,1.0464355477,2135457,2107631,3671,18029,355,22055,27826,2085576,null
102,258,20200911,1.0488623726,2119211,2089788,3953,17616,350,21919,29423,2067869,null
103,257,20200910,1.0521283303,2099591,2066573,4037,17360,346,21743,33018,2044830,null
104,256,20200909,1.0552861830,2082234,2045701,4221,17023,344,21588,36533,2024113,null
105,255,20200908,1.0595696462,2066078,2022708,4455,16636,341,21432,43370,2001276,null
106,254,20200907,1.0625749680,2051297,2004188,4663,16297,336,21296,47109,1982892,null
107,253,20200906,1.0608050637,2045935,1996314,4697,16146,334,21177,49621,1975137,null
108,252,20200905,1.0584553504,2037045,1984968,4668,16009,333,21010,52077,1963958,null
109,251,20200904,1.0597770817,2018906,1966640,4728,15783,331,20842,52266,1945798,null
