종목코드,종목명,현재가,대비,등락률(%),매도호가,매수호가,거래량(주),거래대금(원),시가,고가,저가,액면가,통화구분,상장주식수(주),상장시가총액(원),총카운트
036480,대성미생물,"16,850","-100","0.59","16,850","16,800","21,010","355,253,300","17,150","17,200","16,750","500",원(KRW),"3,800,000","64,030,000,000",
025440,대성엘텍,"710","-12","1.66","711","709","363,175","258,045,428","722","727","705","500",원(KRW),"99,661,343","70,759,553,530",
027830,대성창투,"1,990","45","2.31","1,990","1,985","254,819","500,908,780","1,960","2,005","1,935","500",원(KRW),"40,000,000","79,600,000,000",
104040,대성파인텍,"2,005","-35","1.72","2,005","2,000","382,735","766,129,840","2,020","2,030","1,985","100",원(KRW),"31,301,281","62,759,068,405",
307750,대신밸런스제6호스팩,"7,060","740","11.71","7,060","7,040","490,569","3,374,579,050","6,510","7,150","6,350","100",원(KRW),"5,010,000","35,370,600,000",
332290,대신밸런스제7호스팩,"2,060","5","0.24","2,065","2,060","10,786","22,217,160","2,055","2,060","2,055","100",원(KRW),"5,205,000","10,722,300,000",
336570,대신밸런스제8호스팩,"2,050","5","0.24","2,050","2,045","16,192","33,117,700","2,045","2,055","2,045","100",원(KRW),"5,610,000","11,500,500,000",
020180,대신정보통신,"1,855","-50","2.62","1,860","1,855","517,341","968,098,160","1,890","1,910","1,845","500",원(KRW),"38,428,915","71,285,637,325",
045390,대아티아이,"5,830","-100","1.69","5,840","5,830","706,722","4,129,535,530","5,880","5,900","5,810","100",원(KRW),"71,151,522","414,813,373,260",
108380,대양전기공업,"15,200","150","1.00","15,250","15,100","40,579","615,158,500","15,200","15,400","14,800","500",원(KRW),"9,567,333","145,423,461,600",
006580,대양제지,"3,115","35","1.14","3,135","3,110","600,278","1,913,311,255","3,110","3,255","3,095","500",원(KRW),"26,850,000","83,637,750,000",
007680,대원,"9,700","-50","0.51","9,700","9,620","26,071","251,198,360","9,740","9,740","9,580","500",원(KRW),"11,730,500","113,785,850,000",
048910,대원미디어,"7,880","-200","2.48","7,880","7,870","154,634","1,226,547,330","8,080","8,140","7,830","500",원(KRW),"12,578,946","99,122,094,480",
005710,대원산업,"5,460","-60","1.09","5,510","5,460","4,861","26,581,020","5,500","5,520","5,440","500",원(KRW),"20,037,600","109,405,296,000",
290380,대유,"13,100","-400","2.96","13,100","13,050","73,618","966,553,750","13,400","13,500","13,000","500",원(KRW),"9,052,400","118,586,440,000",
290120,대유에이피,"7,440","-60","0.80","7,450","7,440","19,283","143,457,110","7,500","7,530","7,410","500",원(KRW),"10,884,299","80,979,184,560",
120240,대정화금,"38,450","-50","0.13","38,500","38,450","104,397","4,039,245,550","39,300","39,300","38,100","500",원(KRW),"7,135,391","274,355,783,950",
003310,대주산업,"2,315","-45","1.91","2,320","2,315","446,061","1,040,086,040","2,360","2,370","2,310","500",원(KRW),"35,392,350","81,933,290,250",
078600,대주전자재료,"46,000","-700","1.50","46,000","45,950","87,335","4,002,228,300","46,150","46,250","45,550","500",원(KRW),"15,201,745","699,280,270,000",
096350,대창솔루션,"546","5","0.92","547","546","4,290,738","2,353,303,019","545","557","532","100",원(KRW),"163,761,009","89,413,510,914",
140520,대창스틸,"2,435","5","0.21","2,440","2,430","185,774","452,927,245","2,430","2,490","2,380","500",원(KRW),"20,000,000","48,700,000,000",
131220,대한과학,"25,200","-1,050","4.00","25,200","25,150","788,855","19,824,520,350","26,000","26,550","24,450","500",원(KRW),"7,454,490","187,853,148,000",
010170,대한광통신,"3,930","-60","1.50","3,935","3,930","602,765","2,363,541,200","3,990","3,990","3,895","500",원(KRW),"73,741,625","289,804,586,250",
060900,대한그린파워,"1,175","0","0.00","1,180","1,175","912,074","1,069,954,000","1,155","1,195","1,155","100",원(KRW),"153,287,035","180,112,266,125",
054670,대한뉴팜,"13,150","0","0.00","13,150","13,100","76,548","1,006,050,850","13,200","13,250","13,000","500",원(KRW),"14,354,920","188,767,198,000",
023910,대한약품,"32,350","300","0.94","32,350","32,300","46,659","1,510,681,500","32,450","32,700","32,150","500",원(KRW),"6,000,000","194,100,000,000",
021040,대호피앤씨,"885","-7","0.78","888","884","208,569","185,123,225","883","894","883","500",원(KRW),"73,112,826","64,704,851,010",
021045,대호피앤씨우,"1,475","-25","1.67","1,480","1,475","26,281","38,925,640","1,490","1,490","1,475","500",원(KRW),"4,242,466","6,257,637,350",
067080,대화제약,"14,850","300","2.06","14,850","14,800","87,252","1,284,273,650","14,600","14,950","14,550","500",원(KRW),"18,569,379","275,755,278,150",
298540,더네이쳐홀딩스,"40,250","-1,250","3.01","40,300","40,250","44,885","1,814,298,800","40,850","41,100","39,850","500",원(KRW),"7,272,328","292,711,202,000",
299170,더블유에스아이,"5,150","-230","4.28","5,150","5,140","239,254","1,220,336,140","5,360","5,360","5,000","100",원(KRW),"28,357,963","146,043,509,450",
035290,더블유에프엠,"11,750","0","0.00","0","0","0","0","0","0","0","500",원(KRW),"2,570,137","30,199,109,750",
213420,덕산네오룩스,"29,850","-400","1.32","29,900","29,850","74,930","2,239,058,500","30,250","30,300","29,750","200",원(KRW),"24,010,012","716,698,858,200",
317330,덕산테코피아,"15,700","-100","0.63","15,700","15,650","29,249","457,297,300","15,750","15,750","15,500","500",원(KRW),"18,377,428","288,525,619,600",
077360,덕산하이메탈,"7,690","-190","2.41","7,700","7,690","52,273","404,787,440","7,910","7,910","7,680","200",원(KRW),"22,718,501","174,705,272,690",
090410,덕신하우징,"1,565","-5","0.32","1,570","1,560","367,047","571,037,900","1,595","1,595","1,540","100",원(KRW),"46,084,095","72,121,608,675",
263600,덕우전자,"7,250","-60","0.82","7,260","7,250","104,073","753,646,930","7,290","7,300","7,200","500",원(KRW),"15,930,310","115,494,747,500",
194480,데브시스터즈,"14,000","-50","0.36","14,000","13,850","36,478","496,446,500","14,300","14,350","13,300","500",원(KRW),"11,204,370","156,861,180,000",
263800,데이타솔루션,"7,780","30","0.39","7,790","7,770","67,695","523,380,520","7,750","7,800","7,670","500",원(KRW),"15,828,580","123,146,352,400",
139050,데일리블록체인,"1,120","-55","4.68","1,125","1,120","891,393","1,010,913,015","1,165","1,175","1,110","500",원(KRW),"70,396,824","78,844,442,880",
206560,덱스터,"5,360","-220","3.94","5,400","5,380","228,938","1,241,694,340","5,550","5,550","5,340","500",원(KRW),"25,348,136","135,866,008,960",
261200,덴티스,"1,810","-40","2.16","1,810","1,805","592,418","1,074,386,365","1,830","1,845","1,795","100",원(KRW),"73,094,453","132,300,959,930",
067990,도이치모터스,"6,980","-60","0.85","6,980","6,960","91,749","638,646,570","7,050","7,050","6,910","500",원(KRW),"28,037,345","195,700,668,100",
006620,동구바이오제약,"24,950","-50","0.20","24,950","24,850","55,636","1,392,869,300","25,000","25,450","24,800","500",원(KRW),"9,604,000","239,619,800,000",
100130,동국S&C,"8,480","-40","0.47","8,480","8,470","574,761","4,858,935,440","8,470","8,580","8,320","500",원(KRW),"57,143,000","484,572,640,000",
005160,동국산업,"3,505","-25","0.71","3,505","3,495","48,205","169,019,330","3,530","3,540","3,470","1,000",원(KRW),"54,244,482","190,126,909,410",
075970,동국알앤에스,"3,290","-35","1.05","3,310","3,290","109,754","362,934,870","3,300","3,340","3,280","1,000",원(KRW),"18,400,000","60,536,000,000",
086450,동국제약,"26,850","350","1.32","26,900","26,850","248,659","6,674,139,850","26,550","27,250","26,200","500",원(KRW),"44,460,000","1,193,751,000,000",
099410,동방선기,"3,070","-85","2.69","3,070","3,050","223,225","686,918,525","3,160","3,170","3,005","500",원(KRW),"13,541,002","41,570,876,140",
033500,동성화인텍,"11,600","-200","1.69","11,650","11,600","154,562","1,800,787,950","11,750","11,800","11,550","500",원(KRW),"27,493,533","318,924,982,800",
025950,동신건설,"15,600","-550","3.41","15,650","15,600","229,529","3,566,272,850","15,700","15,850","15,250","500",원(KRW),"8,400,000","131,040,000,000",
088130,동아엘텍,"7,930","-60","0.75","7,940","7,920","18,367","145,810,280","7,990","7,990","7,920","500",원(KRW),"10,662,938","84,557,098,340",
041930,동아화성,"10,350","-100","0.96","10,400","10,350","180,100","1,852,913,250","10,400","10,450","10,200","500",원(KRW),"15,800,000","163,530,000,000",
060380,동양에스텍,"2,950","45","1.55","2,950","2,945","22,233","65,592,510","2,905","3,035","2,905","500",원(KRW),"10,000,000","29,500,000,000",
079960,동양이엔피,"15,500","-250","1.59","15,550","15,500","37,897","588,851,950","15,700","15,800","15,400","500",원(KRW),"7,860,000","121,830,000,000",
228340,동양파일,"3,505","90","2.64","3,535","3,500","683,994","2,480,913,705","3,385","3,880","3,385","500",원(KRW),"20,000,000","70,100,000,000",
088910,동우팜투테이블,"3,400","40","1.19","3,400","3,390","139,900","471,147,780","3,360","3,405","3,315","500",원(KRW),"25,831,764","87,827,997,600",
094170,동운아나텍,"10,100","-50","0.49","10,150","10,100","93,760","944,016,880","10,100","10,250","9,910","500",원(KRW),"15,758,872","159,164,607,200",
013120,동원개발,"4,765","-50","1.04","4,765","4,760","316,767","1,511,224,145","4,860","4,860","4,685","500",원(KRW),"90,808,100","432,700,596,500",
109860,동일금속,"11,200","-50","0.44","11,250","11,200","2,468","27,625,400","11,300","11,300","11,100","500",원(KRW),"7,000,000","78,400,000,000",
032960,동일기연,"12,500","-150","1.19","12,500","12,450","14,358","180,311,200","12,650","12,700","12,450","500",원(KRW),"3,407,309","42,591,362,500",
023790,동일철강,"6,210","-200","3.12","6,240","6,210","36,589","228,977,510","6,410","6,450","6,210","500",원(KRW),"7,345,085","45,612,977,850",
005290,동진쎄미켐,"32,400","550","1.73","32,400","32,350","578,944","18,626,850,950","31,850","32,600","31,350","500",원(KRW),"51,414,494","1,665,829,605,600",
025900,동화기업,"42,600","-450","1.05","42,650","42,600","45,109","1,909,615,900","42,900","42,950","42,050","500",원(KRW),"20,198,382","860,451,073,200",
073190,듀오백,"3,195","5","0.16","3,195","3,185","54,320","172,497,575","3,190","3,235","3,130","500",원(KRW),"11,968,040","38,237,887,800",
030350,드래곤플라이,"3,090","-75","2.37","3,090","3,085","65,279","202,936,600","3,180","3,180","3,065","500",원(KRW),"17,107,393","52,861,844,370",
203650,드림시큐리티,"4,115","-100","2.37","4,120","4,115","556,236","2,296,823,655","4,200","4,205","4,090","100",원(KRW),"50,605,754","208,242,677,710",
223250,드림씨아이에스,"20,100","-100","0.50","20,100","20,050","9,062","180,813,700","20,200","20,450","19,600","500",원(KRW),"5,565,870","111,873,987,000",
060570,드림어스컴퍼니,"5,190","10","0.19","5,210","5,190","764,435","3,957,164,720","5,170","5,330","5,050","500",원(KRW),"56,859,847","295,102,605,930",
217620,디딤,"2,130","-10","0.47","2,135","2,130","99,336","211,195,495","2,180","2,180","2,110","100",원(KRW),"37,001,905","78,814,057,650",
187870,디바이스이엔지,"48,400","2,750","6.02","48,400","48,350","322,189","15,479,043,950","45,950","49,700","45,950","500",원(KRW),"7,036,609","340,571,875,600",
066670,디스플레이텍,"3,530","-45","1.26","3,545","3,530","18,483","65,449,260","3,550","3,565","3,500","500",원(KRW),"18,691,918","65,982,470,540",
110990,디아이티,"7,820","240","3.17","7,860","7,820","218,404","1,696,690,960","7,460","8,100","7,420","100",원(KRW),"18,900,000","147,798,000,000",
263690,디알젬,"15,950","-100","0.62","15,950","15,900","66,365","1,054,110,350","16,100","16,150","15,700","500",원(KRW),"11,325,610","180,643,479,500",
214680,디알텍,"1,480","-15","1.00","1,480","1,475","142,327","210,023,445","1,495","1,500","1,465","100",원(KRW),"51,782,343","76,637,867,640",
263720,디앤씨미디어,"35,100","-550","1.54","35,100","35,000","32,382","1,131,906,150","35,650","35,650","34,550","500",원(KRW),"12,275,111","430,856,396,100",
109740,디에스케이,"6,540","-150","2.24","6,550","6,530","58,751","386,026,570","6,720","6,720","6,530","500",원(KRW),"20,354,763","133,120,150,020",
033430,디에스티,"370","0","0.00","0","0","0","0","0","0","0","100",원(KRW),"64,191,253","23,750,763,610",
131030,디에이치피코리아,"8,160","80","0.99","8,190","8,160","100,343","819,037,550","8,080","8,260","8,080","500",원(KRW),"16,564,797","135,168,743,520",
196490,디에이테크놀로지,"7,160","-270","3.63","7,170","7,160","339,907","2,423,855,830","7,250","7,280","7,010","2,500",원(KRW),"22,779,083","163,098,234,280",
066900,디에이피,"4,255","5","0.12","4,255","4,240","7,861","33,258,760","4,260","4,270","4,210","500",원(KRW),"22,744,503","96,777,860,265",
127120,디엔에이링크,"11,200","-200","1.75","11,250","11,200","174,339","1,964,161,200","11,400","11,600","11,000","500",원(KRW),"13,893,692","155,609,350,400",
092070,디엔에프,"16,100","-300","1.83","16,100","16,050","59,269","949,835,900","16,400","16,450","15,900","500",원(KRW),"10,761,828","173,265,430,800",
