,ID,커피빈,스타벅스,이디야,빽다방,커피지수,y,x
175,인천 연수,7,14,14,7,8.5,10,1
176,인천 서구,0,8,27,4,4.296296296296296,6,1
177,인천 중구,3,5,14,4,4.571428571428571,9,1
178,인천 동구,0,2,2,0,1.0,6,2
179,인천 강화,0,1,1,1,2.0,5,1
180,인천 옹진,0,0,2,0,0.0,10,0
181,순천,0,5,17,1,1.2941176470588236,22,4
182,함평,0,0,0,0,0.0,20,1
183,목포,0,5,10,5,5.5,22,0
184,여수,1,8,18,2,2.5,23,4
185,광양,0,2,9,1,1.2222222222222223,21,5
186,나주,0,1,5,0,0.2,22,1
187,장성,0,0,1,0,0.0,19,2
188,담양,0,0,1,0,0.0,20,2
189,보성,0,0,0,0,0.0,24,3
190,화순,0,0,0,0,0.0,21,4
191,영암,0,0,1,0,0.0,23,1
192,영광,0,0,3,0,0.0,19,1
193,장흥,0,0,0,0,0.0,24,2
194,무안,0,0,3,1,1.0,21,1
195,구례,0,0,0,0,0.0,20,4
196,고흥,0,0,3,0,0.0,22,5
197,진도,0,0,2,0,0.0,24,0
198,완도,0,0,1,0,0.0,25,2
199,해남,1,0,3,0,0.3333333333333333,23,0
200,곡성,0,0,1,0,0.0,21,3
201,신안,0,0,0,0,0.0,21,0
202,강진,0,0,1,0,0.0,24,1
203,임실,0,1,1,0,1.0,19,4
204,익산,0,4,8,1,1.5,16,3
205,전주 완산,1,12,24,3,3.5416666666666665,19,3
206,군산,1,3,10,0,0.4,16,2
207,부안,0,1,5,0,0.2,17,2
208,김제,0,0,4,1,1.0,17,3
209,남원,0,0,1,0,0.0,18,5
210,전주 덕진,0,6,16,2,2.375,18,3
211,완주,0,0,5,0,0.0,17,4
212,정읍,0,0,3,1,1.0,18,2
213,순창,0,1,1,0,1.0,20,3
214,고창,0,0,1,0,0.0,18,1
215,장수,0,0,0,0,0.0,17,5
216,무주,0,0,1,0,0.0,16,5
217,진안,0,0,0,0,0.0,18,4
218,제주,0,13,6,4,6.166666666666666,25,5
219,서귀포,0,12,7,5,6.714285714285714,26,5
220,아산,0,9,8,4,5.125,11,1
221,공주,0,2,5,1,1.4,12,4
222,당진,0,4,7,3,3.571428571428571,12,1
223,천안 동남,1,6,5,4,5.4,11,2
224,금산,1,0,0,0,0.0,15,3
225,태안,0,0,2,0,0.0,11,0
